category;date;percent;downloads
without_mirrors;2020-07-31;0.11%;2
without_mirrors;2020-08-01;0.06%;1
with_mirrors;2020-08-01;0.28%;5
with_mirrors;2020-08-02;1.13%;20
with_mirrors;2020-08-03;0.34%;6
with_mirrors;2020-08-04;0.34%;6
with_mirrors;2020-08-05;0.11%;2
without_mirrors;2020-08-05;0.11%;2
with_mirrors;2020-08-06;0.40%;7
without_mirrors;2020-08-06;0.17%;3
with_mirrors;2020-08-07;1.13%;20
without_mirrors;2020-08-07;0.28%;5
with_mirrors;2020-08-08;0.28%;5
without_mirrors;2020-08-08;0.06%;1
with_mirrors;2020-08-09;0.23%;4
with_mirrors;2020-08-10;0.11%;2
without_mirrors;2020-08-11;0.06%;1
with_mirrors;2020-08-11;0.34%;6
with_mirrors;2020-08-12;0.62%;11
with_mirrors;2020-08-13;0.79%;14
without_mirrors;2020-08-14;0.06%;1
with_mirrors;2020-08-14;0.45%;8
with_mirrors;2020-08-15;0.91%;16
without_mirrors;2020-08-16;0.06%;1
with_mirrors;2020-08-16;0.06%;1
without_mirrors;2020-08-17;0.06%;1
with_mirrors;2020-08-17;0.06%;1
without_mirrors;2020-08-18;0.06%;1
with_mirrors;2020-08-18;0.51%;9
without_mirrors;2020-08-19;0.11%;2
with_mirrors;2020-08-19;0.23%;4
with_mirrors;2020-08-20;0.23%;4
without_mirrors;2020-08-20;0.06%;1
with_mirrors;2020-08-21;0.17%;3
without_mirrors;2020-08-21;0.17%;3
with_mirrors;2020-08-22;1.19%;21
without_mirrors;2020-08-22;0.06%;1
with_mirrors;2020-08-23;0.45%;8
without_mirrors;2020-08-24;0.23%;4
with_mirrors;2020-08-24;0.68%;12
without_mirrors;2020-08-25;0.17%;3
with_mirrors;2020-08-25;0.68%;12
with_mirrors;2020-08-26;0.06%;1
without_mirrors;2020-08-26;0.06%;1
without_mirrors;2020-08-27;0.17%;3
with_mirrors;2020-08-27;0.28%;5
with_mirrors;2020-08-28;0.68%;12
without_mirrors;2020-08-28;0.11%;2
with_mirrors;2020-08-29;0.34%;6
without_mirrors;2020-08-29;0.11%;2
with_mirrors;2020-08-30;1.13%;20
with_mirrors;2020-08-31;0.23%;4
with_mirrors;2020-09-01;1.19%;21
without_mirrors;2020-09-01;0.11%;2
without_mirrors;2020-09-02;0.11%;2
with_mirrors;2020-09-02;0.28%;5
without_mirrors;2020-09-03;0.17%;3
with_mirrors;2020-09-03;0.17%;3
with_mirrors;2020-09-04;0.68%;12
without_mirrors;2020-09-04;0.23%;4
with_mirrors;2020-09-05;0.74%;13
without_mirrors;2020-09-05;0.06%;1
