category;date;percent;downloads
with_mirrors;2020-08-20;0.13%;2
without_mirrors;2020-08-22;0.07%;1
with_mirrors;2020-08-22;1.65%;25
with_mirrors;2020-08-23;0.79%;12
with_mirrors;2020-08-24;1.12%;17
without_mirrors;2020-08-24;0.13%;2
with_mirrors;2020-08-25;0.73%;11
without_mirrors;2020-08-25;0.26%;4
with_mirrors;2020-08-27;0.40%;6
with_mirrors;2020-08-28;0.86%;13
without_mirrors;2020-08-28;0.07%;1
with_mirrors;2020-08-29;0.13%;2
without_mirrors;2020-08-29;0.13%;2
with_mirrors;2020-08-30;1.98%;30
with_mirrors;2020-08-31;0.40%;6
without_mirrors;2020-09-01;0.13%;2
with_mirrors;2020-09-01;1.98%;30
with_mirrors;2020-09-02;0.53%;8
without_mirrors;2020-09-02;0.20%;3
with_mirrors;2020-09-03;0.20%;3
without_mirrors;2020-09-03;0.20%;3
without_mirrors;2020-09-04;0.40%;6
with_mirrors;2020-09-04;0.99%;15
with_mirrors;2020-09-05;1.25%;19
without_mirrors;2020-09-05;0.07%;1
