category;date;percent;downloads
with_mirrors;2020-07-24;0.21%;18
without_mirrors;2020-07-24;0.12%;10
without_mirrors;2020-07-25;0.07%;6
with_mirrors;2020-07-25;1.07%;91
with_mirrors;2020-07-26;0.47%;40
without_mirrors;2020-07-26;0.09%;8
without_mirrors;2020-07-27;0.06%;5
with_mirrors;2020-07-27;0.27%;23
without_mirrors;2020-07-28;0.06%;5
with_mirrors;2020-07-28;0.81%;69
with_mirrors;2020-07-29;0.80%;68
without_mirrors;2020-07-29;0.08%;7
with_mirrors;2020-07-30;0.57%;48
without_mirrors;2020-07-30;0.04%;3
with_mirrors;2020-07-31;0.39%;33
without_mirrors;2020-07-31;0.04%;3
with_mirrors;2020-08-01;1.12%;95
without_mirrors;2020-08-01;0.02%;2
without_mirrors;2020-08-02;0.02%;2
with_mirrors;2020-08-02;1.05%;89
without_mirrors;2020-08-03;0.14%;12
with_mirrors;2020-08-03;0.64%;54
without_mirrors;2020-08-04;0.06%;5
with_mirrors;2020-08-04;0.47%;40
with_mirrors;2020-08-05;0.05%;4
without_mirrors;2020-08-05;0.05%;4
without_mirrors;2020-08-06;0.21%;18
with_mirrors;2020-08-06;1.12%;95
with_mirrors;2020-08-07;0.54%;46
without_mirrors;2020-08-07;0.05%;4
with_mirrors;2020-08-08;0.13%;11
without_mirrors;2020-08-08;0.06%;5
without_mirrors;2020-08-09;0.04%;3
with_mirrors;2020-08-09;0.41%;35
without_mirrors;2020-08-10;0.04%;3
with_mirrors;2020-08-10;0.04%;3
without_mirrors;2020-08-11;0.05%;4
with_mirrors;2020-08-11;0.83%;70
without_mirrors;2020-08-12;0.09%;8
with_mirrors;2020-08-12;0.90%;76
with_mirrors;2020-08-13;0.50%;42
without_mirrors;2020-08-13;0.06%;5
with_mirrors;2020-08-14;0.80%;68
without_mirrors;2020-08-14;0.06%;5
with_mirrors;2020-08-15;0.67%;57
with_mirrors;2020-08-16;0.32%;27
without_mirrors;2020-08-16;0.01%;1
without_mirrors;2020-08-17;0.07%;6
with_mirrors;2020-08-17;0.07%;6
without_mirrors;2020-08-18;0.06%;5
with_mirrors;2020-08-18;0.39%;33
without_mirrors;2020-08-19;0.02%;2
with_mirrors;2020-08-19;0.30%;25
with_mirrors;2020-08-20;0.08%;7
without_mirrors;2020-08-20;0.02%;2
with_mirrors;2020-08-21;0.67%;57
without_mirrors;2020-08-21;0.11%;9
with_mirrors;2020-08-22;1.43%;121
without_mirrors;2020-08-22;0.11%;9
with_mirrors;2020-08-23;0.94%;80
without_mirrors;2020-08-23;0.02%;2
without_mirrors;2020-08-24;0.09%;8
with_mirrors;2020-08-24;0.09%;8
without_mirrors;2020-08-25;0.14%;12
with_mirrors;2020-08-25;0.27%;23
with_mirrors;2020-08-26;0.13%;11
without_mirrors;2020-08-26;0.12%;10
with_mirrors;2020-08-27;0.42%;36
without_mirrors;2020-08-27;0.19%;16
without_mirrors;2020-08-28;0.09%;8
with_mirrors;2020-08-28;0.81%;69
with_mirrors;2020-08-29;0.99%;84
without_mirrors;2020-08-29;0.05%;4
without_mirrors;2020-08-30;0.01%;1
with_mirrors;2020-08-30;1.24%;105
without_mirrors;2020-08-31;0.02%;2
with_mirrors;2020-08-31;0.09%;8
without_mirrors;2020-09-01;0.07%;6
with_mirrors;2020-09-01;1.12%;95
without_mirrors;2020-09-02;0.12%;10
with_mirrors;2020-09-02;0.27%;23
without_mirrors;2020-09-03;0.19%;16
with_mirrors;2020-09-03;0.35%;30
with_mirrors;2020-09-04;1.35%;114
without_mirrors;2020-09-04;0.17%;14
with_mirrors;2020-09-05;0.68%;58
without_mirrors;2020-09-05;0.05%;4
