category;date;percent;downloads
with_mirrors;2020-07-08;0.18%;30
without_mirrors;2020-07-08;0.03%;5
with_mirrors;2020-07-09;0.12%;20
without_mirrors;2020-07-09;0.03%;5
without_mirrors;2020-07-10;0.11%;19
with_mirrors;2020-07-10;0.48%;81
without_mirrors;2020-07-11;0.44%;73
with_mirrors;2020-07-11;2.82%;472
without_mirrors;2020-07-12;0.22%;36
without_mirrors;2020-07-12;0.21%;36
with_mirrors;2020-07-12;2.30%;385
without_mirrors;2020-07-13;0.14%;24
with_mirrors;2020-07-13;1.33%;223
with_mirrors;2020-07-14;4.42%;741
with_mirrors;2020-07-14;4.43%;741
without_mirrors;2020-07-14;0.52%;87
with_mirrors;2020-07-15;5.05%;843
with_mirrors;2020-07-15;5.03%;843
without_mirrors;2020-07-15;0.42%;71
without_mirrors;2020-07-16;0.25%;42
with_mirrors;2020-07-16;2.50%;419
with_mirrors;2020-07-16;2.51%;419
without_mirrors;2020-07-17;0.41%;69
with_mirrors;2020-07-17;2.30%;384
with_mirrors;2020-07-17;2.29%;384
without_mirrors;2020-07-18;0.03%;5
with_mirrors;2020-07-18;1.14%;191
with_mirrors;2020-07-19;0.59%;98
without_mirrors;2020-07-19;0.05%;8
with_mirrors;2020-07-19;0.58%;98
with_mirrors;2020-07-20;1.20%;201
without_mirrors;2020-07-20;0.59%;99
without_mirrors;2020-07-21;0.39%;65
with_mirrors;2020-07-21;0.57%;95
without_mirrors;2020-07-22;0.57%;96
with_mirrors;2020-07-22;1.31%;219
without_mirrors;2020-07-23;0.34%;56
without_mirrors;2020-07-23;0.33%;56
with_mirrors;2020-07-23;0.81%;135
with_mirrors;2020-07-24;1.25%;209
without_mirrors;2020-07-24;0.76%;127
with_mirrors;2020-07-25;0.70%;117
without_mirrors;2020-07-25;0.14%;24
with_mirrors;2020-07-26;0.80%;133
without_mirrors;2020-07-26;0.44%;73
with_mirrors;2020-07-26;0.79%;133
without_mirrors;2020-07-27;0.69%;116
with_mirrors;2020-07-27;0.94%;157
with_mirrors;2020-07-28;0.96%;161
without_mirrors;2020-07-28;0.33%;55
without_mirrors;2020-07-29;0.21%;35
with_mirrors;2020-07-29;0.56%;94
without_mirrors;2020-07-30;0.29%;49
with_mirrors;2020-07-30;0.57%;96
with_mirrors;2020-07-31;0.51%;85
without_mirrors;2020-07-31;0.19%;32
with_mirrors;2020-08-01;0.85%;142
without_mirrors;2020-08-01;0.04%;6
without_mirrors;2020-08-02;0.07%;11
with_mirrors;2020-08-02;0.92%;155
with_mirrors;2020-08-02;0.93%;155
without_mirrors;2020-08-03;0.18%;30
with_mirrors;2020-08-03;0.61%;102
with_mirrors;2020-08-04;0.56%;94
without_mirrors;2020-08-04;0.22%;37
with_mirrors;2020-08-05;0.32%;54
without_mirrors;2020-08-05;0.32%;54
with_mirrors;2020-08-06;1.08%;181
without_mirrors;2020-08-06;0.37%;62
with_mirrors;2020-08-07;0.28%;47
without_mirrors;2020-08-07;0.03%;5
without_mirrors;2020-08-08;0.10%;16
with_mirrors;2020-08-08;0.29%;48
with_mirrors;2020-08-09;0.58%;98
with_mirrors;2020-08-09;0.59%;98
without_mirrors;2020-08-09;0.39%;66
with_mirrors;2020-08-10;0.28%;47
without_mirrors;2020-08-10;0.28%;47
without_mirrors;2020-08-11;0.18%;31
with_mirrors;2020-08-11;0.59%;99
without_mirrors;2020-08-11;0.19%;31
with_mirrors;2020-08-12;0.95%;158
without_mirrors;2020-08-12;0.35%;58
with_mirrors;2020-08-12;0.94%;158
with_mirrors;2020-08-13;0.57%;95
without_mirrors;2020-08-13;0.11%;19
without_mirrors;2020-08-14;0.10%;17
with_mirrors;2020-08-14;0.73%;122
without_mirrors;2020-08-15;0.14%;23
with_mirrors;2020-08-15;0.41%;69
without_mirrors;2020-08-16;0.01%;2
with_mirrors;2020-08-16;0.39%;66
without_mirrors;2020-08-17;0.22%;37
with_mirrors;2020-08-17;0.22%;37
with_mirrors;2020-08-18;0.51%;85
without_mirrors;2020-08-18;0.28%;47
with_mirrors;2020-08-19;0.54%;91
without_mirrors;2020-08-19;0.25%;41
without_mirrors;2020-08-19;0.24%;41
without_mirrors;2020-08-20;0.14%;23
with_mirrors;2020-08-20;0.17%;29
without_mirrors;2020-08-21;0.14%;23
with_mirrors;2020-08-21;0.52%;87
without_mirrors;2020-08-22;0.08%;14
with_mirrors;2020-08-22;1.19%;200
with_mirrors;2020-08-22;1.20%;200
with_mirrors;2020-08-23;0.59%;99
without_mirrors;2020-08-23;0.02%;3
without_mirrors;2020-08-24;0.48%;80
with_mirrors;2020-08-24;0.48%;80
with_mirrors;2020-08-25;1.02%;171
without_mirrors;2020-08-25;0.54%;90
without_mirrors;2020-08-26;0.25%;41
with_mirrors;2020-08-26;0.25%;41
without_mirrors;2020-08-26;0.24%;41
with_mirrors;2020-08-26;0.24%;41
with_mirrors;2020-08-27;0.45%;76
without_mirrors;2020-08-27;0.26%;43
with_mirrors;2020-08-28;0.84%;140
without_mirrors;2020-08-28;0.28%;47
with_mirrors;2020-08-29;0.72%;121
without_mirrors;2020-08-29;0.10%;16
without_mirrors;2020-08-30;0.10%;17
with_mirrors;2020-08-30;0.87%;145
with_mirrors;2020-08-31;0.86%;144
without_mirrors;2020-08-31;0.61%;102
with_mirrors;2020-09-01;0.76%;127
without_mirrors;2020-09-01;0.24%;40
with_mirrors;2020-09-02;0.87%;145
without_mirrors;2020-09-02;0.87%;145
with_mirrors;2020-09-03;0.30%;50
without_mirrors;2020-09-03;0.30%;50
with_mirrors;2020-09-04;1.42%;238
without_mirrors;2020-09-04;0.43%;72
without_mirrors;2020-09-05;0.07%;12
with_mirrors;2020-09-05;0.26%;44
with_mirrors;2020-09-06;0.14%;24
without_mirrors;2020-09-06;0.14%;24
