category;date;percent;downloads
without_mirrors;2020-06-12;0.03%;2
with_mirrors;2020-06-12;0.37%;28
with_mirrors;2020-06-13;0.35%;27
without_mirrors;2020-06-13;0.01%;1
with_mirrors;2020-06-14;1.03%;80
with_mirrors;2020-06-14;1.04%;80
with_mirrors;2020-06-14;1.05%;80
with_mirrors;2020-06-15;0.03%;2
without_mirrors;2020-06-15;0.03%;2
without_mirrors;2020-06-16;0.20%;15
without_mirrors;2020-06-16;0.19%;15
with_mirrors;2020-06-16;0.30%;23
without_mirrors;2020-06-17;0.01%;1
with_mirrors;2020-06-17;0.46%;35
with_mirrors;2020-06-17;0.45%;35
without_mirrors;2020-06-18;0.01%;1
with_mirrors;2020-06-18;0.31%;24
with_mirrors;2020-06-19;0.34%;26
with_mirrors;2020-06-19;0.33%;26
with_mirrors;2020-06-20;0.33%;26
with_mirrors;2020-06-20;0.34%;26
with_mirrors;2020-06-21;0.33%;26
with_mirrors;2020-06-21;0.34%;26
with_mirrors;2020-06-22;0.49%;38
without_mirrors;2020-06-22;0.03%;2
with_mirrors;2020-06-22;0.50%;38
with_mirrors;2020-06-23;0.10%;8
without_mirrors;2020-06-23;0.05%;4
with_mirrors;2020-06-24;0.77%;60
with_mirrors;2020-06-24;0.79%;60
with_mirrors;2020-06-24;0.78%;60
with_mirrors;2020-06-25;0.50%;39
without_mirrors;2020-06-25;0.17%;13
with_mirrors;2020-06-25;0.51%;39
without_mirrors;2020-06-26;0.01%;1
with_mirrors;2020-06-26;0.69%;53
with_mirrors;2020-06-26;0.68%;53
with_mirrors;2020-06-27;0.68%;52
with_mirrors;2020-06-27;0.67%;52
with_mirrors;2020-06-29;0.13%;10
without_mirrors;2020-06-29;0.05%;4
without_mirrors;2020-06-30;0.01%;1
with_mirrors;2020-06-30;0.85%;65
with_mirrors;2020-06-30;0.84%;65
with_mirrors;2020-07-01;0.05%;4
with_mirrors;2020-07-02;0.31%;24
with_mirrors;2020-07-03;0.76%;58
with_mirrors;2020-07-03;0.75%;58
with_mirrors;2020-07-04;0.75%;58
with_mirrors;2020-07-04;0.76%;58
with_mirrors;2020-07-05;0.34%;26
with_mirrors;2020-07-05;0.33%;26
with_mirrors;2020-07-06;0.01%;1
without_mirrors;2020-07-06;0.01%;1
without_mirrors;2020-07-07;0.01%;1
with_mirrors;2020-07-07;0.01%;1
with_mirrors;2020-07-08;0.73%;57
with_mirrors;2020-07-08;0.75%;57
with_mirrors;2020-07-08;0.74%;57
without_mirrors;2020-07-08;0.01%;1
with_mirrors;2020-07-09;0.68%;52
with_mirrors;2020-07-09;0.67%;52
with_mirrors;2020-07-11;0.21%;16
with_mirrors;2020-07-13;0.67%;52
with_mirrors;2020-07-13;0.68%;52
with_mirrors;2020-07-14;0.96%;75
with_mirrors;2020-07-14;0.98%;75
without_mirrors;2020-07-14;0.01%;1
with_mirrors;2020-07-15;0.65%;50
without_mirrors;2020-07-15;0.05%;4
with_mirrors;2020-07-15;0.64%;50
with_mirrors;2020-07-16;0.62%;47
with_mirrors;2020-07-16;0.60%;47
with_mirrors;2020-07-16;0.61%;47
with_mirrors;2020-07-18;0.82%;63
with_mirrors;2020-07-18;0.83%;63
without_mirrors;2020-07-18;0.01%;1
with_mirrors;2020-07-18;0.81%;63
with_mirrors;2020-07-19;0.33%;26
with_mirrors;2020-07-19;0.34%;26
with_mirrors;2020-07-20;0.68%;53
with_mirrors;2020-07-20;0.69%;53
without_mirrors;2020-07-21;0.03%;2
with_mirrors;2020-07-21;0.36%;28
with_mirrors;2020-07-21;0.37%;28
with_mirrors;2020-07-22;0.15%;12
without_mirrors;2020-07-22;0.01%;1
with_mirrors;2020-07-22;0.16%;12
with_mirrors;2020-07-23;0.03%;2
without_mirrors;2020-07-23;0.01%;1
with_mirrors;2020-07-24;0.67%;51
with_mirrors;2020-07-24;0.66%;51
with_mirrors;2020-07-25;0.01%;1
with_mirrors;2020-07-26;0.42%;32
with_mirrors;2020-07-26;0.41%;32
with_mirrors;2020-07-27;0.05%;4
with_mirrors;2020-07-28;0.73%;56
